kias |keas |ktas |ktgs |mph |mphas |mphgs |a|b|c
     -0.03151 |      13.00813 |      13.08514 |       0.99605 |      -0.03626 |      15.05811 |       1.14841 |       0.00000 |      14.90631 |      14.90631 
     -0.17689 |      12.98781 |      13.06472 |       0.81630 |      -0.20356 |      15.03461 |       0.94120 |       0.00000 |      14.90631 |      14.90631 
     -0.41386 |      12.94205 |      13.01870 |       0.61319 |      -0.47626 |      14.98165 |       0.70702 |       0.00000 |      14.90631 |      14.90631 
     -0.72307 |      12.90568 |      12.98212 |       0.48348 |      -0.83209 |      14.93956 |       0.55745 |       0.00000 |      14.90631 |      14.90631 
     -1.08788 |      12.88370 |      12.96002 |       0.38847 |      -1.25191 |      14.91412 |       0.44789 |       0.00000 |      14.90631 |      14.90631 
     -1.49423 |      12.87342 |      12.94967 |       0.30594 |      -1.71953 |      14.90222 |       0.35272 |       0.00000 |      14.90631 |      14.90631 
     -2.38614 |      12.88008 |      12.95638 |       0.15935 |      -2.74592 |      14.90993 |       0.18369 |       0.00000 |      14.90631 |      14.90631 
     -2.85369 |      12.88952 |      12.96587 |       0.10476 |      -3.28396 |      14.92086 |       0.12076 |       0.00000 |      14.90631 |      14.90631 
     -3.32618 |      12.90022 |      12.97664 |       0.06963 |      -3.82770 |      14.93325 |       0.08026 |       0.00000 |      14.90631 |      14.90631 
     -3.79816 |      12.91081 |      12.98729 |       0.05827 |      -4.37084 |      14.94550 |       0.06716 |       0.00000 |      14.90631 |      14.90631 
     -4.26519 |      12.92051 |      12.99705 |       0.06086 |      -4.90830 |      14.95674 |       0.07015 |       0.00000 |      14.90631 |      14.90631 
     -4.72380 |      12.92944 |      13.00603 |       0.06387 |      -5.43605 |      14.96708 |       0.07361 |       0.00000 |      14.90631 |      14.90631 
     -5.17119 |      12.93769 |      13.01433 |       0.06278 |      -5.95090 |      14.97663 |       0.07235 |       0.00000 |      14.90631 |      14.90631 
     -6.02434 |      12.95172 |      13.02844 |       0.04828 |      -6.93268 |      14.99286 |       0.05564 |       0.00000 |      14.90631 |      14.90631 
     -6.42735 |      12.95769 |      13.03445 |       0.03804 |      -7.39647 |      14.99978 |       0.04383 |       0.00000 |      14.90631 |      14.90631 
     -6.81351 |      12.96303 |      13.03982 |       0.02788 |      -7.84085 |      15.00596 |       0.03213 |       0.00000 |      14.90631 |      14.90631 
     -7.18230 |      12.96777 |      13.04459 |       0.01884 |      -8.26525 |      15.01144 |       0.02171 |       0.00000 |      14.90631 |      14.90631 
     -7.53349 |      12.97169 |      13.04853 |       0.01281 |      -8.66939 |      15.01598 |       0.01476 |       0.00000 |      14.90512 |      14.90631 
     -7.86707 |      12.97463 |      13.05149 |       0.01127 |      -9.05326 |      15.01939 |       0.01298 |       0.00000 |      14.90512 |      14.90631 
     -8.18313 |      12.97675 |      13.05362 |       0.01290 |      -9.41698 |      15.02184 |       0.01486 |       0.00000 |      14.90512 |      14.90631 
     -8.48191 |      12.97806 |      13.05494 |       0.01512 |      -9.76081 |      15.02336 |       0.01743 |       0.00000 |      14.90512 |      14.90631 
     -8.76384 |      12.97840 |      13.05528 |       0.01626 |     -10.08524 |      15.02375 |       0.01873 |       0.00000 |      14.90512 |      14.90631 
     -9.02937 |      12.97791 |      13.05479 |       0.01605 |     -10.39081 |      15.02318 |       0.01850 |       0.00000 |      14.90512 |      14.90631 
     -9.27901 |      12.97690 |      13.05377 |       0.01492 |     -10.67809 |      15.02201 |       0.01719 |       0.00000 |      14.90512 |      14.90631 
     -9.51330 |      12.97544 |      13.05230 |       0.01333 |     -10.94771 |      15.02032 |       0.01536 |       0.00000 |      14.90512 |      14.90631 
     -9.93810 |      12.97075 |      13.04759 |       0.00863 |     -11.43657 |      15.01490 |       0.00995 |       0.00000 |      14.90512 |      14.90631 
    -10.12993 |      12.96815 |      13.04497 |       0.00592 |     -11.65732 |      15.01188 |       0.00683 |       0.00000 |      14.90512 |      14.90631 
    -10.47573 |      12.96252 |      13.03931 |       0.00280 |     -12.05525 |      15.00537 |       0.00323 |       0.00000 |      14.90512 |      14.90631 
    -10.63094 |      12.95974 |      13.03651 |       0.00486 |     -12.23387 |      15.00214 |       0.00560 |       0.00000 |      14.90512 |      14.90631 
    -10.77525 |      12.95758 |      13.03434 |       0.00700 |     -12.39994 |      14.99965 |       0.00807 |       0.00000 |      14.90512 |      14.90631 
    -10.90930 |      12.95622 |      13.03297 |       0.00845 |     -12.55420 |      14.99807 |       0.00974 |       0.00000 |      14.90512 |      14.90631 
    -11.03364 |      12.95458 |      13.03131 |       0.01020 |     -12.69729 |      14.99617 |       0.01175 |       0.00000 |      14.90512 |      14.90631 
    -11.14887 |      12.95341 |      13.03014 |       0.01145 |     -12.82989 |      14.99481 |       0.01320 |       0.00000 |      14.90512 |      14.90631 
    -11.25557 |      12.95273 |      13.02946 |       0.01223 |     -12.95267 |      14.99403 |       0.01409 |       0.00000 |      14.90512 |      14.90631 
    -11.35431 |      12.95209 |      13.02881 |       0.01294 |     -13.06630 |      14.99329 |       0.01491 |       0.00000 |      14.90512 |      14.90631 
    -11.44562 |      12.95238 |      13.02910 |       0.01263 |     -13.17138 |      14.99362 |       0.01455 |       0.00000 |      14.90393 |      14.90631 
    -11.53002 |      12.95301 |      13.02974 |       0.01200 |     -13.26851 |      14.99436 |       0.01383 |       0.00000 |      14.90393 |      14.90631 
    -11.60798 |      12.95407 |      13.03080 |       0.01092 |     -13.35822 |      14.99558 |       0.01259 |       0.00000 |      14.90393 |      14.90631 
    -11.67995 |      12.95442 |      13.03116 |       0.01050 |     -13.44104 |      14.99599 |       0.01210 |       0.00000 |      14.90393 |      14.90631 
    -11.74636 |      12.95492 |      13.03167 |       0.00994 |     -13.51746 |      14.99657 |       0.01146 |       0.00000 |      14.90393 |      14.90631 
    -11.80760 |      12.95615 |      13.03290 |       0.00869 |     -13.58794 |      14.99799 |       0.01001 |       0.00000 |      14.90393 |      14.90631 
    -11.86413 |      12.95677 |      13.03352 |       0.00806 |     -13.65300 |      14.99871 |       0.00929 |       0.00000 |      14.90393 |      14.90631 
    -11.91631 |      12.95780 |      13.03456 |       0.00717 |     -13.71305 |      14.99990 |       0.00826 |       0.00000 |      14.90393 |      14.90631 
    -11.96445 |      12.95815 |      13.03491 |       0.00781 |     -13.76845 |      15.00031 |       0.00900 |       0.00000 |      14.90393 |      14.90631 
    -12.00884 |      12.95845 |      13.03521 |       0.00894 |     -13.81952 |      15.00065 |       0.01031 |       0.00000 |      14.90393 |      14.90631 
    -12.04974 |      12.95905 |      13.03581 |       0.00994 |     -13.86660 |      15.00135 |       0.01145 |       0.00000 |      14.90393 |      14.90631 
    -12.08743 |      12.95948 |      13.03625 |       0.01081 |     -13.90996 |      15.00185 |       0.01246 |       0.00000 |      14.90393 |      14.90631 
    -12.12212 |      12.95996 |      13.03673 |       0.01128 |     -13.94989 |      15.00241 |       0.01300 |       0.00000 |      14.90393 |      14.90631 
    -12.15406 |      12.95963 |      13.03640 |       0.01352 |     -13.98665 |      15.00202 |       0.01558 |       0.00000 |      14.90393 |      14.90631 
    -12.18345 |      12.95946 |      13.03623 |       0.01693 |     -14.02046 |      15.00183 |       0.01951 |       0.00000 |      14.90393 |      14.90631 
    -12.21047 |      12.95918 |      13.03595 |       0.02080 |     -14.05156 |      15.00150 |       0.02397 |       0.00000 |      14.90393 |      14.90631 
    -12.23532 |      12.95933 |      13.03610 |       0.02460 |     -14.08015 |      15.00167 |       0.02835 |       0.00000 |      14.90393 |      14.90631 
    -12.25815 |      12.95970 |      13.03647 |       0.02716 |     -14.10643 |      15.00210 |       0.03130 |       0.00000 |      14.90393 |      14.90631 
    -12.27913 |      12.96008 |      13.03685 |       0.02836 |     -14.13057 |      15.00254 |       0.03268 |       0.00000 |      14.90393 |      14.90631 
    -12.29840 |      12.96084 |      13.03762 |       0.02838 |     -14.15275 |      15.00342 |       0.03270 |       0.00000 |      14.90393 |      14.90631 
    -12.31609 |      12.96211 |      13.03889 |       0.02636 |     -14.17310 |      15.00489 |       0.03038 |       0.00000 |      14.90274 |      14.90631 
    -12.33233 |      12.96327 |      13.04006 |       0.02235 |     -14.19179 |      15.00623 |       0.02575 |       0.00000 |      14.90274 |      14.90631 
    -12.34722 |      12.96463 |      13.04143 |       0.01682 |     -14.20893 |      15.00781 |       0.01939 |       0.00000 |      14.90274 |      14.90631 
    -12.36089 |      12.96624 |      13.04305 |       0.01096 |     -14.22466 |      15.00968 |       0.01264 |       0.00000 |      14.90274 |      14.90631 
    -12.37342 |      12.96784 |      13.04466 |       0.00619 |     -14.23908 |      15.01153 |       0.00713 |       0.00000 |      14.90274 |      14.90631 
    -12.38491 |      12.96895 |      13.04578 |       0.00451 |     -14.25230 |      15.01281 |       0.00519 |       0.00000 |      14.90274 |      14.90631 
    -12.39544 |      12.96967 |      13.04650 |       0.00613 |     -14.26442 |      15.01365 |       0.00706 |       0.00000 |      14.90274 |      14.90631 
    -12.40509 |      12.97003 |      13.04686 |       0.00843 |     -14.27553 |      15.01406 |       0.00971 |       0.00000 |      14.90274 |      14.90631 
    -12.41393 |      12.96989 |      13.04672 |       0.01021 |     -14.28570 |      15.01390 |       0.01176 |       0.00000 |      14.90274 |      14.90631 
    -12.42203 |      12.96946 |      13.04629 |       0.01099 |     -14.29502 |      15.01340 |       0.01266 |       0.00000 |      14.90274 |      14.90631 
