kias |keas |ktas |ktgs |mph |mphas |mphgs |a|b|c|
     -0.03206 |      13.27808 |      13.35691 |       2.17105 |      -0.03689 |      15.37086 |       2.51573 |       0.00000 |     500.00000 |     500.00000 | 
     -0.18001 |      13.15137 |      13.22948 |       1.23127 |      -0.20715 |      15.22422 |       1.41815 |       0.00000 |     500.00000 |     500.00000 | 
     -0.42017 |      13.12625 |      13.20423 |       0.36081 |      -0.48352 |      15.19516 |       0.41522 |       0.00000 |     500.00000 |     500.00000 | 
     -0.73275 |      13.10067 |      13.17850 |       0.42770 |      -0.84324 |      15.16555 |       0.49240 |       0.00000 |     500.00000 |     500.00000 | 
     -1.10176 |      13.37149 |      13.45092 |       0.74666 |      -1.26789 |      15.47905 |       0.86083 |       0.00000 |     500.00000 |     500.00000 | 
     -1.51435 |      13.32147 |      13.40059 |       0.79598 |      -1.74269 |      15.42112 |       0.91985 |       0.00000 |     500.00000 |     500.00000 | 
     -1.95937 |      13.64561 |      13.72664 |       1.02217 |      -2.25481 |      15.79634 |       1.18426 |       0.00000 |     500.00000 |     500.00000 | 
     -2.43025 |      14.21364 |      14.29803 |       1.47403 |      -2.79668 |      16.45388 |       1.71181 |       0.00000 |     500.00000 |     500.00000 | 
     -2.92079 |      14.04149 |      14.12486 |       1.26105 |      -3.36118 |      16.25459 |       1.46833 |       0.00000 |     500.00000 |     500.00000 | 
     -3.42162 |      14.00780 |      14.09096 |       1.19042 |      -3.93753 |      16.21558 |       1.38972 |       0.00000 |     500.00000 |     500.00000 | 
     -3.92553 |      13.95194 |      14.03476 |       1.14251 |      -4.51742 |      16.15091 |       1.33740 |       0.00000 |     500.00000 |     500.00000 | 
     -4.42580 |      13.92120 |      14.00384 |       1.11960 |      -5.09312 |      16.11534 |       1.31430 |       0.00000 |     500.00000 |     500.00000 | 
     -4.91726 |      13.90572 |      13.98828 |       1.06250 |      -5.65868 |      16.09742 |       1.25101 |       0.00000 |     500.00000 |     500.00000 | 
     -5.39616 |      13.89807 |      13.98058 |       0.99249 |      -6.20979 |      16.08857 |       1.17226 |       0.00000 |     500.00000 |     500.00000 | 
     -5.81710 |      13.89505 |      13.97755 |       0.94751 |      -6.69420 |      16.08508 |       1.12253 |       0.00000 |     500.00000 |     500.00000 | 
     -6.21172 |      13.89315 |      13.97563 |       0.92339 |      -7.14832 |      16.08287 |       1.09734 |       0.00000 |     500.00000 |     500.00000 | 
     -6.58992 |      13.88975 |      13.97222 |       0.94809 |      -7.58354 |      16.07894 |       1.12925 |       0.00000 |     500.00000 |     500.00000 | 
     -6.95800 |      13.46416 |      13.54411 |       0.55668 |      -8.00712 |      15.58628 |       0.66337 |       0.00000 |     500.00000 |     500.00000 | 
     -7.30453 |      13.20582 |      13.28424 |       0.23651 |      -8.40590 |      15.28723 |       0.28184 |       0.00000 |     500.00000 |     500.00000 | 
     -7.62855 |      13.01034 |      13.08759 |       0.14786 |      -8.77878 |      15.06093 |       0.17613 |       0.00000 |     500.00000 |     500.00000 | 
     -7.95508 |      12.83562 |      12.91184 |       0.27752 |      -9.15454 |      14.85868 |       0.33036 |       0.00000 |     499.94434 |     500.00000 | 
     -8.23964 |      12.72066 |      12.79618 |       0.34312 |      -9.48201 |      14.72559 |       0.40813 |       0.00000 |     499.94434 |     500.00000 | 
     -8.51431 |      12.64334 |      12.71840 |       0.36947 |      -9.79809 |      14.63608 |       0.43914 |       0.00000 |     499.94434 |     500.00000 | 
     -8.74558 |      12.62407 |      12.69902 |       0.35259 |     -10.06423 |      14.61377 |       0.41878 |       0.00000 |     499.94434 |     500.00000 | 
     -8.96218 |      12.62134 |      12.69628 |       0.34407 |     -10.31349 |      14.61061 |       0.40836 |       0.00000 |     499.94434 |     500.00000 | 
     -9.16354 |      12.62380 |      12.69875 |       0.34406 |     -10.54521 |      14.61346 |       0.40803 |       0.00000 |     499.94434 |     500.00000 | 
     -9.35222 |      12.62719 |      12.70216 |       0.34297 |     -10.76234 |      14.61738 |       0.40641 |       0.00000 |     499.94434 |     500.00000 | 
     -9.52571 |      12.62976 |      12.70475 |       0.34160 |     -10.96199 |      14.62037 |       0.40444 |       0.00000 |     499.94434 |     500.00000 | 
     -9.69357 |      12.63046 |      12.70545 |       0.34484 |     -11.15516 |      14.62117 |       0.40791 |       0.00000 |     499.94434 |     500.00000 | 
     -9.86365 |      12.62779 |      12.70276 |       0.35482 |     -11.35088 |      14.61808 |       0.41927 |       0.00000 |     499.94434 |     500.00000 | 
    -10.00247 |      12.62145 |      12.69639 |       0.36661 |     -11.51064 |      14.61074 |       0.43278 |       0.00000 |     499.94434 |     500.00000 | 
    -10.13312 |      12.61149 |      12.68637 |       0.37949 |     -11.66099 |      14.59921 |       0.44753 |       0.00000 |     499.94434 |     500.00000 | 
    -10.25398 |      12.59831 |      12.67311 |       0.39360 |     -11.80007 |      14.58395 |       0.46370 |       0.00000 |     499.94434 |     500.00000 | 
    -10.37078 |      12.58160 |      12.65630 |       0.41030 |     -11.93448 |      14.56461 |       0.48284 |       0.00000 |     499.94434 |     500.00000 | 
